"","Track","Round","Constructor","Points"
"77","Monaco",8,"Haas Ferrari",0
"78","Monaco",8,"RB Honda RBPT",4
"79","Monaco",8,"Williams Mercedes",2
"80","Monaco",8,"Alpine Renault",1
"81","Canada",9,"Red Bull Racing Honda RBPT",25
"82","Canada",9,"Ferrari",0
"83","Canada",9,"Mercedes",28
"84","Canada",9,"McLaren Mercedes",28
"85","Canada",9,"Aston Martin Aramco Mercedes",14
"86","Canada",9,"Kick Sauber Ferrari",0
"87","Canada",9,"Haas Ferrari",0
"88","Canada",9,"RB Honda RBPT",4
"89","Canada",9,"Williams Mercedes",0
"90","Canada",9,"Alpine Renault",3
"91","Spain",10,"Red Bull Racing Honda RBPT",29
"92","Spain",10,"Ferrari",18
"93","Spain",10,"Mercedes",27
"94","Spain",10,"McLaren Mercedes",25
"95","Spain",10,"Aston Martin Aramco Mercedes",0
"96","Spain",10,"Kick Sauber Ferrari",0
"97","Spain",10,"Haas Ferrari",0
"98","Spain",10,"RB Honda RBPT",0
"99","Spain",10,"Williams Mercedes",0
"100","Spain",10,"Alpine Renault",3
"101","Austria",11,"Red Bull Racing Honda RBPT",16
"102","Austria",11,"Ferrari",15
"103","Austria",11,"Mercedes",37
"104","Austria",11,"McLaren Mercedes",18
"105","Austria",11,"Aston Martin Aramco Mercedes",0
"106","Austria",11,"Kick Sauber Ferrari",0
"107","Austria",11,"Haas Ferrari",12
"108","Austria",11,"RB Honda RBPT",2
"109","Austria",11,"Williams Mercedes",0
"110","Austria",11,"Alpine Renault",1
"111","Great Britain",12,"Red Bull Racing Honda RBPT",18
"112","Great Britain",12,"Ferrari",11
"113","Great Britain",12,"Mercedes",25
"114","Great Britain",12,"McLaren Mercedes",27
"115","Great Britain",12,"Aston Martin Aramco Mercedes",10
"116","Great Britain",12,"Kick Sauber Ferrari",0
"117","Great Britain",12,"Haas Ferrari",8
"118","Great Britain",12,"RB Honda RBPT",1
"119","Great Britain",12,"Williams Mercedes",2
"120","Great Britain",12,"Alpine Renault",0
"121","Hungary",13,"Red Bull Racing Honda RBPT",16
"122","Hungary",13,"Ferrari",20
"123","Hungary",13,"Mercedes",20
"124","Hungary",13,"McLaren Mercedes",43
"125","Hungary",13,"Aston Martin Aramco Mercedes",1
"126","Hungary",13,"Kick Sauber Ferrari",0
"127","Hungary",13,"Haas Ferrari",0
"128","Hungary",13,"RB Honda RBPT",2
"129","Hungary",13,"Williams Mercedes",0
"130","Hungary",13,"Alpine Renault",0
"131","Belgium",14,"Red Bull Racing Honda RBPT",19
"132","Belgium",14,"Ferrari",23
"133","Belgium",14,"Mercedes",25
"134","Belgium",14,"McLaren Mercedes",28
"135","Belgium",14,"Aston Martin Aramco Mercedes",4
"136","Belgium",14,"Kick Sauber Ferrari",0
"137","Belgium",14,"Haas Ferrari",0
"138","Belgium",14,"RB Honda RBPT",1
"139","Belgium",14,"Williams Mercedes",0
"140","Belgium",14,"Alpine Renault",2
"141","Netherlands",15,"Red Bull Racing Honda RBPT",26
"142","Netherlands",15,"Ferrari",25
"143","Netherlands",15,"Mercedes",10
"144","Netherlands",15,"McLaren Mercedes",38
"145","Netherlands",15,"Aston Martin Aramco Mercedes",1
"146","Netherlands",15,"Kick Sauber Ferrari",0
"147","Netherlands",15,"Haas Ferrari",0
"148","Netherlands",15,"RB Honda RBPT",0
"149","Netherlands",15,"Williams Mercedes",0
"150","Netherlands",15,"Alpine Renault",2
"151","Italy",16,"Red Bull Racing Honda RBPT",12
"152","Italy",16,"Ferrari",37
"153","Italy",16,"Mercedes",16
"154","Italy",16,"McLaren Mercedes",34
"155","Italy",16,"Aston Martin Aramco Mercedes",0
"156","Italy",16,"Kick Sauber Ferrari",0
"157","Italy",16,"Haas Ferrari",1
"158","Italy",16,"RB Honda RBPT",0
"159","Italy",16,"Williams Mercedes",2
"160","Italy",16,"Alpine Renault",0
"161","Azerbaijan",17,"Red Bull Racing Honda RBPT",10
"162","Azerbaijan",17,"Ferrari",18
"163","Azerbaijan",17,"Mercedes",17
"164","Azerbaijan",17,"McLaren Mercedes",38
"165","Azerbaijan",17,"Aston Martin Aramco Mercedes",8
"166","Azerbaijan",17,"Kick Sauber Ferrari",0
"167","Azerbaijan",17,"Haas Ferrari",1
"168","Azerbaijan",17,"RB Honda RBPT",0
"169","Azerbaijan",17,"Williams Mercedes",10
"170","Azerbaijan",17,"Alpine Renault",0
"171","Singapore",18,"Red Bull Racing Honda RBPT",19
"172","Singapore",18,"Ferrari",16
"173","Singapore",18,"Mercedes",20
"174","Singapore",18,"McLaren Mercedes",40
"175","Singapore",18,"Aston Martin Aramco Mercedes",4
"176","Singapore",18,"Kick Sauber Ferrari",0
"177","Singapore",18,"Haas Ferrari",2
"178","Singapore",18,"RB Honda RBPT",0
"179","Singapore",18,"Williams Mercedes",0
"180","Singapore",18,"Alpine Renault",0
"181","United States",19,"Red Bull Racing Honda RBPT",21
"182","United States",19,"Ferrari",43
"183","United States",19,"Mercedes",8
"184","United States",19,"McLaren Mercedes",22
"185","United States",19,"Aston Martin Aramco Mercedes",0
"186","United States",19,"Kick Sauber Ferrari",0
"187","United States",19,"Haas Ferrari",4
"188","United States",19,"RB Honda RBPT",2
"189","United States",19,"Williams Mercedes",1
"190","United States",19,"Alpine Renault",0
"191","Mexico",20,"Red Bull Racing Honda RBPT",8
"192","Mexico",20,"Ferrari",41
"193","Mexico",20,"Mercedes",22
"194","Mexico",20,"McLaren Mercedes",22
"195","Mexico",20,"Aston Martin Aramco Mercedes",0
"196","Mexico",20,"Kick Sauber Ferrari",0
"197","Mexico",20,"Haas Ferrari",8
"198","Mexico",20,"RB Honda RBPT",0
"199","Mexico",20,"Williams Mercedes",0
"200","Mexico",20,"Alpine Renault",1
"201","Brazil",21,"Red Bull Racing Honda RBPT",26
"202","Brazil",21,"Ferrari",10
"203","Brazil",21,"Mercedes",13
"204","Brazil",21,"McLaren Mercedes",12
"205","Brazil",21,"Aston Martin Aramco Mercedes",0
"206","Brazil",21,"Kick Sauber Ferrari",0
"207","Brazil",21,"Haas Ferrari",0
"208","Brazil",21,"RB Honda RBPT",8
"209","Brazil",21,"Williams Mercedes",0
"210","Brazil",21,"Alpine Renault",33
"211","Las Vegas",22,"Red Bull Racing Honda RBPT",11
"212","Las Vegas",22,"Ferrari",27
"213","Las Vegas",22,"Mercedes",43
"214","Las Vegas",22,"McLaren Mercedes",15
"215","Las Vegas",22,"Aston Martin Aramco Mercedes",0
"216","Las Vegas",22,"Kick Sauber Ferrari",0
"217","Las Vegas",22,"Haas Ferrari",4
"218","Las Vegas",22,"RB Honda RBPT",2
"219","Las Vegas",22,"Williams Mercedes",0
"220","Las Vegas",22,"Alpine Renault",0
"221","Qatar",23,"Red Bull Racing Honda RBPT",25
"222","Qatar",23,"Ferrari",26
"223","Qatar",23,"Mercedes",12
"224","Qatar",23,"McLaren Mercedes",17
"225","Qatar",23,"Aston Martin Aramco Mercedes",6
"226","Qatar",23,"Kick Sauber Ferrari",4
"227","Qatar",23,"Haas Ferrari",2
"228","Qatar",23,"RB Honda RBPT",0
"229","Qatar",23,"Williams Mercedes",0
"230","Qatar",23,"Alpine Renault",10
"231","Abu Dhabi",24,"Red Bull Racing Honda RBPT",8
"232","Abu Dhabi",24,"Ferrari",33
"233","Abu Dhabi",24,"Mercedes",22
"234","Abu Dhabi",24,"McLaren Mercedes",26
"235","Abu Dhabi",24,"Aston Martin Aramco Mercedes",2
"236","Abu Dhabi",24,"Kick Sauber Ferrari",0
"237","Abu Dhabi",24,"Haas Ferrari",4
"238","Abu Dhabi",24,"RB Honda RBPT",0
"239","Abu Dhabi",24,"Williams Mercedes",0
"240","Abu Dhabi",24,"Alpine Renault",6
